Ticker,Field,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2023-Q3
AAPL,Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
AAPL,Tax Rate For Calcs,0.125456,0.148756,0.157904,0.15963,
AAPL,Normalized EBITDA,26050000000.0,31216000000.0,38932000000.0,27759000000.0,
AAPL,Net Income From Continuing Operation Net Minority Interest,19881000000.0,24160000000.0,29998000000.0,20721000000.0,
AAPL,Reconciled Depreciation,3052000000.0,2898000000.0,2916000000.0,2865000000.0,
AAPL,Reconciled Cost Of Revenue,45384000000.0,52860000000.0,66822000000.0,52051000000.0,
AAPL,EBITDA,26050000000.0,31216000000.0,38932000000.0,27759000000.0,
AAPL,EBIT,22998000000.0,28318000000.0,36016000000.0,24894000000.0,
AAPL,Net Interest Income,-18000000.0,-12000000.0,-135000000.0,-74000000.0,
AAPL,Interest Expense,998000000.0,930000000.0,1003000000.0,827000000.0,
AAPL,Interest Income,980000000.0,918000000.0,868000000.0,753000000.0,
AAPL,Normalized Income,19881000000.0,24160000000.0,29998000000.0,20721000000.0,
AAPL,Net Income From Continuing And Discontinued Operation,19881000000.0,24160000000.0,29998000000.0,20721000000.0,
AAPL,Total Expenses,58799000000.0,66518000000.0,81138000000.0,65252000000.0,
AAPL,Total Operating Income As Reported,22998000000.0,28318000000.0,36016000000.0,24894000000.0,
AAPL,Diluted Average Shares,15775021000.0,15847050000.0,15955718000.0,16118465000.0,
AAPL,Basic Average Shares,15697614000.0,15787154000.0,15892723000.0,16030382000.0,
AAPL,Diluted EPS,1.26,1.52,1.88,1.29,
AAPL,Basic EPS,1.27,1.53,1.89,1.29,
AAPL,Diluted NI Availto Com Stockholders,19881000000.0,24160000000.0,29998000000.0,20721000000.0,
AAPL,Net Income Common Stockholders,19881000000.0,24160000000.0,29998000000.0,20721000000.0,
AAPL,Net Income,19881000000.0,24160000000.0,29998000000.0,20721000000.0,
AAPL,Net Income Including Noncontrolling Interests,19881000000.0,24160000000.0,29998000000.0,20721000000.0,
AAPL,Net Income Continuous Operations,19881000000.0,24160000000.0,29998000000.0,20721000000.0,
AAPL,Tax Provision,2852000000.0,4222000000.0,5625000000.0,3936000000.0,
AAPL,Pretax Income,22733000000.0,28382000000.0,35623000000.0,24657000000.0,
AAPL,Other Income Expense,-265000000.0,64000000.0,-393000000.0,-237000000.0,
AAPL,Other Non Operating Income Expenses,-265000000.0,64000000.0,-393000000.0,-237000000.0,
AAPL,Net Non Operating Interest Income Expense,-18000000.0,-12000000.0,-135000000.0,-74000000.0,
AAPL,Interest Expense Non Operating,998000000.0,930000000.0,1003000000.0,827000000.0,
AAPL,Interest Income Non Operating,980000000.0,918000000.0,868000000.0,753000000.0,
