Ticker,Field,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2
CSCO,Tax Effect Of Unusual Items,-85020000.0,-20541000.0,-35114000.0,-18587787.966898,
CSCO,Tax Rate For Calcs,0.156,0.167,0.181,0.114739,
CSCO,Normalized EBITDA,3998000000.0,3826000000.0,5148000000.0,5166000000.0,
CSCO,Total Unusual Items,-545000000.0,-123000000.0,-194000000.0,-162000000.0,
CSCO,Total Unusual Items Excluding Goodwill,-545000000.0,-123000000.0,-194000000.0,-162000000.0,
CSCO,Net Income From Continuing Operation Net Minority Interest,1886000000.0,2634000000.0,3638000000.0,3958000000.0,
CSCO,Reconciled Depreciation,861000000.0,422000000.0,401000000.0,422000000.0,
CSCO,Reconciled Cost Of Revenue,3865000000.0,4218000000.0,4777000000.0,5103000000.0,
CSCO,EBITDA,3453000000.0,3703000000.0,4954000000.0,5004000000.0,
CSCO,EBIT,2592000000.0,3281000000.0,4553000000.0,4582000000.0,
CSCO,Net Interest Income,54000000.0,204000000.0,249000000.0,201000000.0,
CSCO,Interest Expense,357000000.0,120000000.0,111000000.0,111000000.0,
CSCO,Interest Income,411000000.0,324000000.0,360000000.0,312000000.0,
CSCO,Normalized Income,2345980000.0,2736459000.0,3796886000.0,4101412212.033102,
CSCO,Net Income From Continuing And Discontinued Operation,1886000000.0,2634000000.0,3638000000.0,3958000000.0,
CSCO,Total Expenses,9969000000.0,9683000000.0,10269000000.0,10747000000.0,
CSCO,Total Operating Income As Reported,2191000000.0,3096000000.0,4276000000.0,4253000000.0,
CSCO,Diluted Average Shares,4060000000.0,4073000000.0,4087000000.0,4093000000.0,
CSCO,Basic Average Shares,4042000000.0,4055000000.0,4057000000.0,4071000000.0,
CSCO,Diluted EPS,0.46,0.65,0.89,0.97,
CSCO,Basic EPS,0.47,0.65,0.9,0.97,
CSCO,Diluted NI Availto Com Stockholders,1886000000.0,2634000000.0,3638000000.0,3958000000.0,
CSCO,Net Income Common Stockholders,1886000000.0,2634000000.0,3638000000.0,3958000000.0,
CSCO,Net Income,1886000000.0,2634000000.0,3638000000.0,3958000000.0,
CSCO,Net Income Including Noncontrolling Interests,1886000000.0,2634000000.0,3638000000.0,3958000000.0,
CSCO,Net Income Continuous Operations,1886000000.0,2634000000.0,3638000000.0,3958000000.0,
CSCO,Tax Provision,349000000.0,527000000.0,804000000.0,513000000.0,
CSCO,Pretax Income,2235000000.0,3161000000.0,4442000000.0,4471000000.0,
CSCO,Other Income Expense,-552000000.0,-151000000.0,-206000000.0,-186000000.0,
CSCO,Other Non Operating Income Expenses,-7000000.0,-28000000.0,-12000000.0,-24000000.0,
CSCO,Special Income Charges,-542000000.0,-12000000.0,-123000000.0,-203000000.0,
CSCO,Restructuring And Mergern Acquisition,542000000.0,12000000.0,123000000.0,203000000.0,
CSCO,Gain On Sale Of Security,-3000000.0,-111000000.0,-71000000.0,41000000.0,
CSCO,Net Non Operating Interest Income Expense,54000000.0,204000000.0,249000000.0,201000000.0,
