oftic,TICKER,CUSIP,CNAME,STATPERS,NUMEST,NUMUP4W,NUMDOWN4W,NUMUP1M,NUMDOWN1M,MEANPTG,MEDPTG,STDEV,PTGHIGH,PTGLOW,CURR,USFIRM
ABNB,ABNB,00906610,AIRBNB INC,2020-12-17,3,0,0,0,0,104.333,103,30.022,135,75,USD,1
ABNB,ABNB,00906610,AIRBNB INC,2021-01-14,25,1,0,1,0,155.24,151,23.15,200,103,USD,1
ABNB,ABNB,00906610,AIRBNB INC,2021-02-18,27,3,0,3,0,159.296,154,24.889,220,120,USD,1
ABNB,ABNB,00906610,AIRBNB INC,2021-03-18,25,22,0,22,0,185.84,180,31.67,240,130,USD,1
ABNB,ABNB,00906610,AIRBNB INC,2021-04-15,27,1,0,1,0,188.074,180,32.219,245,130,USD,1
ABNB,ABNB,00906610,AIRBNB INC,2021-05-20,27,3,16,3,16,174.185,174,29.029,240,119,USD,1
ABNB,ABNB,00906610,AIRBNB INC,2021-06-17,28,0,2,0,2,172.5,170,28.703,240,119,USD,1
ABNB,ABNB,00906610,AIRBNB INC,2021-07-15,28,0,0,0,0,172.5,170,28.703,240,119,USD,1
ABNB,ABNB,00906610,AIRBNB INC,2021-08-19,31,8,2,8,2,175.71,170,25.124,240,140,USD,1
ABNB,ABNB,00906610,AIRBNB INC,2021-09-16,32,0,0,0,0,174.344,170,25.895,240,132,USD,1
ABNB,ABNB,00906610,AIRBNB INC,2021-10-14,34,4,1,4,1,177.529,175.5,24.339,220,132,USD,1
ABNB,ABNB,00906610,AIRBNB INC,2021-11-18,34,25,0,25,0,197.088,195,24.131,250,140,USD,1
ABNB,ABNB,00906610,AIRBNB INC,2021-12-16,34,0,1,0,1,196.294,194.5,24.572,250,140,USD,1
ABNB,ABNB,00906610,AIRBNB INC,2022-01-20,34,1,3,1,3,194.059,194,26.186,250,140,USD,1
ABNB,ABNB,00906610,AIRBNB INC,2022-02-17,34,23,1,23,1,201.618,202.5,25.814,250,150,USD,1
ABNB,ABNB,00906610,AIRBNB INC,2022-03-17,34,2,1,2,1,198.618,199,25.551,250,150,USD,1
ABNB,ABNB,00906610,AIRBNB INC,2022-04-14,32,1,0,1,0,199.031,202.5,26.289,250,150,USD,1
ABNB,ABNB,00906610,AIRBNB INC,2022-05-19,33,4,11,3,13,190.515,190,25.229,250,145,USD,1
ABNB,ABNB,00906610,AIRBNB INC,2022-06-16,32,0,6,0,6,181.625,182.5,31.906,250,95,USD,1
ABNB,ABNB,00906610,AIRBNB INC,2022-07-14,31,0,6,0,6,172.645,175,38.173,250,95,USD,1
ABNB,ABNB,00906610,AIRBNB INC,2022-08-18,30,1,21,1,22,141.033,140,29.472,214,100,USD,1
ABNB,ABNB,00906610,AIRBNB INC,2022-09-15,29,1,0,1,0,142.448,140,28.938,214,100,USD,1
ABNB,ABNB,00906610,AIRBNB INC,2022-10-20,30,1,2,1,2,140.567,140,25.477,197,100,USD,1
ABNB,ABNB,00906610,AIRBNB INC,2022-11-17,31,2,14,2,14,133.645,132,23.423,186,98,USD,1
ABNB,ABNB,00906610,AIRBNB INC,2022-12-15,33,1,3,1,3,130.333,125,24.503,186,80,USD,1
ABNB,ABNB,00906610,AIRBNB INC,2023-01-19,33,0,6,0,6,125.182,120,21.521,165,80,USD,1
ABNB,ABNB,00906610,AIRBNB INC,2023-02-16,32,23,1,23,1,137.531,138.5,19.589,165,98,USD,1
ABNB,ABNB,00906610,AIRBNB INC,2023-03-16,32,1,0,1,0,138.156,139,19.262,165,98,USD,1
ABNB,ABNB,00906610,AIRBNB INC,2023-04-20,30,3,1,3,1,135.367,137.5,22.944,185,75,USD,1
ABNB,ABNB,00906610,AIRBNB INC,2023-05-18,30,2,19,2,19,130.533,134,21.287,185,95,USD,1
ABNB,ABNB,00906610,AIRBNB INC,2023-06-15,32,0,2,0,2,129.031,131.5,21.439,185,95,USD,1
ADBE,ADBE,00724F10,ADOBE INC,2020-09-17,24,21,0,21,0,552.775,560,40.059,600,410,USD,1
ADBE,ADBE,00724F10,ADOBE INC,2020-10-15,23,0,0,0,0,552.026,560,40.787,600,410,USD,1
ADBE,ADBE,00724F10,ADOBE INC,2020-11-19,23,0,0,0,0,552.026,560,40.787,600,410,USD,1
ADBE,ADBE,00724F10,ADOBE INC,2020-12-17,23,8,1,8,1,557.07,570,41.974,605,410,USD,1
ADBE,ADBE,00724F10,ADOBE INC,2021-01-14,21,1,0,1,0,565.2,570,27.947,605,500,USD,1
ADBE,ADBE,00724F10,ADOBE INC,2021-02-18,24,0,0,0,0,563.3,570,28.61,605,500,USD,1
